funding_total_usd,count
1244661.104,1
1243750,1
124000000,1
12400000,1
1240000,1
1236454,1
12350000,1
1235000,1
1231629,1
123000000,1
12300000,1
1230000,1
122738,1
12256689,1
1225000,1
12206746,1
122000000,2
12200000,2
1220000,1
1219318,1
1218770,1
12160,1
121050000,1
121000000,1
12100000,1
121000,1
12060066,1
12050000,1
12024769,1
12005448,1
1200378,1
120000000,2
12000000,7
1200000,22
120000,7
11999999,1
11999347,1
11988175.72,1
119823937,1
1195000,1
119191000,1
1191698,1
1188702,1
11879704,1
118794,1
1185000,1
118400035,1
1182833,1
118125,1
118000000,1
118000,6
11771486,1
1176830000,1
117600000,1
11755550,1
11750000,1
1172067.292,1
1171300,1
117000000,1
11700000,1
1170000,1
116990000,1
116987,1
1168005,1
11674955,1
116605707,1
1165824,1
11623640,1
116185,1
116000000,1
11600000,2
1159500,1
11591907,1
11587263,1
1157500,1
115700000,1
115656,1
1155981,1
1155000,2
11540578,1
115345,1
11518329,1
11512944.96,1
1150050,1
11500142,1
11500000,4
1150000,3
11499995,1
1147396,1
114000000,1
1140000,1
113701127,1
1136548,1
113616859,1
113500000,1
1132500,1
1131250,1
11300000,1
1130000,1
11280162,1
112785321,1
1121078,1
11200000,1
1120000,1
111900000,1
11176477,1
1117139,1
111700000,1
11162400,1
111540,1
111005000,1
1110000000,1
1107000,1
11065763.07,1
110640466,1
1105000,1
11043722,1
11035003,1
11017508,1
1101315.888,1
11001850,1
1100064,1
11000000,8
1100000,10
110000,2
11000,1
109883,1
109772047,1
10975000,1
10974363,1
1090000,1
10850000,1
108377224,1
10823112,1
1080959,1
10800000,1
1080000,2
1079000,1
10774916,1
107500000,1
10750000,1
1075000,1
10731587.66,1
10720178,1
107182814,1
107060133,1
107000000,1
1070000,1
106879.1683,1
1067625,1
10671168,1
10661772.9,1
1065000,1
106348982,1
10631795,1
10600000,2
1060000,1
106000,1
1059500,1
105866943,1
10563501,1
10562781,1
1054991,1
10548000,1
1050284,1
105000000,3
10500000,6
1050000,2
105000,6
104952382,1
1048105,1
104680725,1
10450000,1
104292,1
104000000,1
1040000,1
1038955,1
10375000,1
10349192,1
10335613,1
10320281,1
103063800,1
10304545,1
10300000,1
1029954,1
10283444,1
1028265,1
10273803,1
10257000,1
10250000,1
1025000,1
10248901,1
10235710,1
1021575,1
10207905,1
10200000,3
1020000,1
101750000,1
101718192,1
1016000,1
1015000,1
1011601,1
101000000,1
10100000,1
1010000,1
10097281,1
10080000,1
100750,1
10065000,1
100588,1
10055948,1
100484,1
10038299,1
1002775,1
1001000,1
1000000000,2
100000000,8
10000000,49
1000000,76
100000,65
10000,11
1000,2
100,1
